site,date,transect,tree DBH
BFG,8/4/19,2,3.5 cm
BFG,8/4/19,2,26.1 cm
BFG,8/4/19,2,8.2 cm
BFG,8/4/19,2,14.1 cm
BFG,8/4/19,2,1.9 cm
BFG,8/4/19,2,2.1 cm
