site,date,transect,location,type,dweightb,bweight
BFG,8/4/19,1,0,es,77.89,7.09
BFG,8/4/19,1,0,ds,24.1,7.19
BFG,8/4/19,1,0,l,12.05,7.21
BFG,8/4/19,1,0,m,37.36,7.2
BFG,8/4/19,1,0,f,0,0
BFG,8/4/19,2,0,es,26.69,7.23
BFG,8/4/19,2,0,ds,15.02,7.22
BFG,8/4/19,2,0,l,12.9,7.22
BFG,8/4/19,2,0,m,83.92,7.19
BFG,8/4/19,2,0,f,8.39,7.19
BFG,8/4/19,3,0,es,18.6,7.15
BFG,8/4/19,3,0,ds,15.14,7.17
BFG,8/4/19,3,0,l,7.54,7.23
BFG,8/4/19,3,0,m,42.47,7.23
BFG,8/4/19,3,0,f,8.37,7.13
